Season,Episode No.,Episode No. (Overall),Title,Airdate,Rating,Votes,Viewership,Duration,Michael Scott (Steve Carell),About
7,20,137,Michael's Last Dundies,2011-04-21,8.9,6083,6.85,23,True,"Michael hosts his final ""Dundies"" as the boss at the Scranton branch, but tension is in the air, and Deangelo Vickers, the new boss, is having trouble with his co-hosting duties."
7,21,138,"Goodbye, Michael",2011-04-28,9.8,16528,8.42,50,True,"As the office gets ready for Michael's final day at Dunder Mifflin, Michael doesn't tell anyone that he's leaving a day early. Meanwhile, Deangelo accompanies a nervous Andy on a visit to one of Michael's old clients."
7,22,139,The Inner Circle,2011-05-05,7.4,4278,6.9,23,False,"Tensions rise and feelings are hurt when Deangelo creates an ""inner circle"" at the office--which is only composed of men."
7,23,140,"Dwight K. Schrute, (Acting) Manager",2011-05-12,8.5,4635,6.45,23,False,"When Jim rejects Jo's offer, Dwight becomes acting manager at the Scranton branch, but an accident could cause his tenure to be short-lived."
7,24,141,Search Committee,2011-05-19,8.6,4838,7.29,42,False,"The Scranton branch puts together a search committee to find the next boss, but the pool of interviewees proves to be less than impressive, and Dwight demands an interview in spite of his gun accident."
8,1,142,The List,2011-09-22,7.9,4462,7.64,23,False,"New Dunder Mifflin CEO Robert California leaves a piece of paper with a line down the middle that has names of the Scranton staff on either side of it, leading everyone to try and figure out what it means."
8,2,143,The Incentive,2011-09-29,8.0,4253,6.7,23,False,"Under pressure from Robert to increase branch sales, Andy offers an incentive program to the sales staff, which backfires on him when he offers a very personal grand prize."
8,3,144,Lotto,2011-10-06,7.1,4044,5.82,23,False,"After the entire warehouse staff wins the lottery and quits their job, Darryl becomes depressed and demands to be fired. Meanwhile, the office staff is forced to load the truck for their orders themselves."
8,4,145,Garden Party,2011-10-13,8.0,4466,6.08,23,False,"Andy claims to be throwing a garden party at Dwight's farm to impress Robert California, but he's really doing it to win the approval of his parents, who appear to favor his younger brother."
8,5,146,Spooked,2011-10-27,7.3,3993,5.53,23,False,"Erin is worried that she is about to get fired after she organizes a disastrous office Halloween party for Robert and his son. Meanwhile, Robert probes the minds of the employees to come up with the perfect spooky story."
8,6,147,Doomsday,2011-11-03,7.4,3846,6.15,23,False,"Dwight installs a ""Doomsday Device"" on the office computers that could get everyone fired if they make too many mistakes, while Gabe tries to hit on one of Darryl's warehouse employees."
8,7,148,Pam's Replacement,2011-11-10,7.5,4115,5.96,23,False,"A pregnant and insecure Pam tries to prove that Jim is attracted to her temp replacement, and Robert and his musician friends take over a jam session with Andy, Kevin, and Darryl."
8,8,149,Gettysburg,2011-11-17,6.6,4103,5.5,23,False,Andy decides to motivate and inspire everyone by taking them on a field trip to Gettysburg. Some people in the office stay behind and Robert California asks them to come up with Dunder Mifflin/Sabre's next big idea.
8,9,150,Mrs. California,2011-12-01,7.5,4025,5.71,23,False,"Robert brings his wife to the office so that she can find a job, but he gives Andy conflicting messages about whether to hire her. Meanwhile, Dwight opens a gym in the building and tries to persuade Darryl to join."
8,10,151,Christmas Wishes,2011-12-08,7.7,3929,5.79,23,False,"Andy tries to make this year's Christmas the best ever by granting each person's holiday wishes. Meanwhile, Robert California tries to drown his sorrows at the office party."
8,11,152,Trivia,2012-01-12,7.7,3904,5.9,23,False,"Andy hopes to make up for a sales deficiency by entering and winning a bar trivia competition, while Dwight flies to corporate headquarters in Florida to demand a management interview with Robert."
8,12,153,Pool Party,2012-01-19,7.9,4234,6.02,23,False,"Robert throws a party for the Dunder Mifflin staff at his house before he sells it because of his divorce. At the party, Erin and Dwight agree to flirt with each other to make Andy jealous, and Jim tries in vain to duck out early."
8,13,154,Jury Duty,2012-02-02,7.3,3797,5.31,23,False,"Jim gets caught in a lie about his week of ""jury duty,"" and new questions emerge when Angela gives birth to a ""premature"" baby."
8,14,155,Special Project,2012-02-09,7.5,3714,5.19,23,False,"Andy puts Dwight in charge of a special project in Tallahassee, but Dwight doesn't like the team Andy's assembled for him. Meanwhile, Darryl tries to figure out the meaning of Val's Valentine's gift."
8,15,156,Tallahassee,2012-02-16,7.7,3922,4.38,23,False,"Dwight refuses to let appendicitis get in the way of leading his new team in Tallahassee, while Andy decides to step in for Erin as secretary in the office."
8,16,157,After Hours,2012-02-23,7.9,4073,5.02,23,False,"In Tallahassee, Dwight and Todd Packer try to romance Nellie to get the VP position, while Jim wonders if Kathy is trying to hit on him. Back in Scranton, Val's boyfriend shows up with a message for Darryl."
8,17,158,Test the Store,2012-03-01,7.7,3879,4.95,23,False,"Dwight and his team get ready for the grand opening of the Sabre Store, while Andy makes Toby teach self-defense to the Scranton branch employees after he is beat up in the parking lot by a girl."
8,18,159,Last Day in Florida,2012-03-08,7.6,3783,4.89,23,False,"Jim tries to warn Dwight that he's going to be fired after Robert rejects the Sabre Store idea, but he refuses to listen. Meanwhile, Darryl and Toby try to sell cookies to Kevin, and Erin tells Andy she's not coming back from Florida."
8,19,160,Get the Girl,2012-03-15,6.4,4387,4.87,23,False,"Andy goes to Tallahassee to tell Erin that he loves her and needs her to return to Scranton. Meanwhile, Nellie shows up in Scranton and tries to claim Andy's manager position by offering everyone raises."
8,20,161,Welcome Party,2012-04-12,6.8,3877,4.39,23,False,"Andy tries to break up with his girlfriend after going to Florida to declare his love for Erin, and the office employees are forced against their will to throw a party for the hated Nellie."
8,21,162,Angry Andy,2012-04-19,6.7,4232,4.35,23,False,"Andy and Erin return to Dunder Mifflin, only to discover that Nellie has taken his job and office and refuses to give them up. Meanwhile, Ryan becomes jealous after Pam tries to play matchmaker for Kelly."
8,22,163,Fundraiser,2012-04-26,6.9,3723,4.17,23,False,Andy confronts Robert for the first time after losing the manager position and quitting his job at a fund raiser sponsored by Angela's husband.
8,23,164,Turf War,2012-05-03,7.4,3638,4.44,23,False,"Dwight and Jim fight with the Syracuse over a client after Robert shuts down the Binghamton branch, and Andy sees an opportunity for revenge. Meanwhile Robert tries to figure out the contents of a drunken voicemail to Nellie."
8,24,165,Free Family Portrait Studio,2012-05-10,7.5,3806,4.49,23,False,"With former CEO David Wallace's help, Andy launches a plan to get revenge on the Scranton branch. Meanwhile, Dwight launches his own plan to find out if he's the father of Angela's baby."
9,1,166,New Guys,2012-09-20,7.4,4047,4.28,23,False,"Dwight and Jim are intimidated by the office's newest additions, who are considered younger versions of themselves. Meanwhile, Andy tries to make Nellie's life miserable, and Angela tries to get rid of one of her cats."
9,2,167,Roy's Wedding,2012-09-27,6.9,3881,4.13,23,False,"After Roy's wedding, Jim and Pam wonder if they still have any secrets they're hiding from each other. Meanwhile, Clark tricks Erin into a ""news audition,"" and Dwight challenges Nellie's new charity initiative."
9,3,168,Andy's Ancestry,2012-10-04,7.1,3837,4.14,23,False,"Nellie plays a trick on Andy after researching his ancestry, Dwight teaches Erin a new language, and Pam tries to teach Nellie how to drive."
9,4,169,Work Bus,2012-10-18,7.6,4079,4.28,22,False,"When Jim convinces Dwight that the building is unsafe, Dwight rents a bus and sets up the office inside. Nellie asks for Andy's help in adopting a baby. Meanwhile, Jim tries to make Pam happy with some pie."
9,5,170,Here Comes Treble,2012-10-25,6.7,3958,4.0,22,False,"On Halloween, the Cornell a Capella group pays a visit to Andy, Dwight discovers that Nellie takes anxiety pills, and Pam disapproves of Jim's business decision."
9,6,171,The Boat,2012-11-08,7.5,3915,4.83,22,False,"Andy has one last chance to captain the family boat before he sells it, Jim, Pam, and Nellie prank Dwight with a radio interview, and Kevin finds out about Oscar's affair with Angela's husband."
9,7,172,The Whale,2012-11-15,7.4,3729,4.16,22,False,"The office trains Dwight to sell to a female client without being offensive, only to discover that the client is Jan Levinson. Angela and Oscar both think the senator is cheating on them, and Jim has trouble on an important conference call."
9,8,173,The Target,2012-11-29,7.7,3907,3.88,22,False,"Angela orders a hit on Oscar for cheating with her husband, the office makes a tower with their customer complaint cards, Jim wines and dines Stanley and Phyllis in exchange for a favor, and Pam begins her mural."
9,9,174,Dwight Christmas,2012-12-06,8.2,4367,4.16,22,False,"Dwight puts together a Pennsylvania Dutch-themed office Christmas party, but he ends it abruptly because Jim has to leave for his other job. Meanwhile, Erin seeks comfort from a co-worker after a disappointing text from Andy."
9,10,175,Lice,2013-01-10,7.4,3873,4.54,22,False,"Pam causes a lice outbreak but lets Meredith take the blame, Jim has a business meeting with Dr. J, and some coworkers try to get Darryl and Val back together."
9,11,176,Suit Warehouse,2013-01-17,7.6,3805,4.15,22,False,"Dwight and Clark pose as father and son to get an account, Darryl goes for an interview with Jim's new business, and everybody in the office goes crazy over a new espresso machine."
9,12,177,Customer Loyalty,2013-01-24,7.6,3888,4.19,22,False,"Dwight tries to keep Darryl from leaving Dunder Mifflin, Jim misses his daughter's recital because of an important business meeting, and Nellie is worried that Erin will dump Andy for Pete."
9,13,178,Junior Salesman,2013-01-31,7.3,3683,4.45,22,False,Dwight gets to hire a new salesman to replace Jim when he is at his other job. But will he promote Clark or go with one of his unqualified friends instead?
9,14,179,Vandalism,2013-01-31,7.2,3715,3.97,22,False,"Pam tries to find out who vandalized her mural, Darryl finds out that Jim is a slob, and Oscar and Kevin go to Angela and The Senator's child's first birthday party."
9,15,180,Couples Discount,2013-02-07,7.0,3786,4.15,22,False,"Andy returns after three months to an angry office and an even angrier girlfriend, and Jim's Valentines Day with Pam does not go as planned."
9,16,181,Moving On,2013-02-14,7.8,4063,4.06,42,False,"Andy finds out that Erin dumped him for Pete, Dwight gets Angela's help taking care of his aunt, and Pam interviews with a real estate firm whose boss is a carbon-copy of Michael Scott."
9,17,182,The Farm,2013-03-14,7.3,4284,3.54,22,False,"Dwight's brother and sister return to the farm for an aunt's funeral. Meanwhile, Todd Packer returns to make amends to his former co-workers, but Pam is skeptical."
9,18,183,Promos,2013-04-04,7.7,3784,3.44,22,False,"The release of the documentary promos creates tension for the Dunder Mifflin employees, Dwight considers a business venture with his girlfriend's family, and Jim and Darryl have an awkward business meeting with baseball player Ryan Howard."
9,19,184,Stairmageddon,2013-04-11,7.8,3927,3.83,22,False,"Dwight shoots Stanley with a bull tranquilizer after he refuses to go on a sales call, Jim and Pam head to marriage counseling, The Senator comes out of the closet, and Andy tries to find a talent agent."
9,20,185,Paper Airplane,2013-04-25,7.8,4024,3.25,22,False,"The employees hold a paper airplane competition, Andy gets an acting role in a workplace safety video, and Jim and Pam's marriage tensions continue to build."
9,21,186,Livin' the Dream,2013-05-02,9.0,5917,3.51,42,False,"Dwight becomes regional manager after Andy quits his job, Jim dedicates more time to his Dunder Mifflin job to save his marriage, and Angela has problems with her new living arrangements after her breakup with The Senator."
9,22,187,A.A.R.M.,2013-05-09,9.4,7745,4.56,43,False,"Dwight prepares for a marriage proposal and hires an assistant for his assistant, Andy auditions for a singing program, Darryl tries to leave his job without a fuss, and Pam has second thoughts about Jim staying in Scranton."
9,23,188,Finale,2013-05-16,9.8,19871,5.69,51,True,"One year later, Dunder Mifflin employees past and present reunite for a panel discussion about the documentary and to attend Dwight and Angela's wedding."
